T,M,Time
1,1,0.673064
1,10,17.978839
1,20,23.430191
1,30,31.915540
1,40,43.117599
1,50,58.031625
1,100,60.513758
10,1,0.654965
10,10,2.463742
10,20,3.776258
10,30,4.890716
10,40,5.994273
10,50,7.745908
10,100,7.805942
20,1,0.635778
20,10,1.832908
20,20,2.352498
20,30,3.035698
20,40,3.346590
20,50,4.384598
20,100,4.119812
