T,M,Time
1,1,0.223504
1,10,17.448821
1,20,23.233578
1,30,31.662587
1,40,42.944872
1,50,57.908022
1,100,60.542878
10,1,0.257108
10,10,2.154010
10,20,3.140707
10,30,4.086399
10,40,4.586970
10,50,6.382333
10,100,6.388032
20,1,0.215201
20,10,1.518363
20,20,1.959518
20,30,2.456315
20,40,2.849865
20,50,3.373590
20,100,3.330971
