T,M,Time
1,1,0.226969
1,10,17.429170
1,20,23.170899
1,30,31.573960
1,40,42.835656
1,50,57.780375
1,100,60.461129
10,1,0.297222
10,10,1.994615
10,20,2.899020
10,30,3.634733
10,40,4.815890
10,50,6.325712
10,100,6.373416
20,1,0.315523
20,10,1.428544
20,20,2.014171
20,30,2.463727
20,40,2.863323
20,50,3.353447
20,100,3.375223
